date,Open,High,Low,Close,Volume
2020-05-07 09:31:00,0.8799,0.9088,0.8634,0.8904,6597299.0
2020-05-07 09:34:00,1.0502,1.0583,1.028,1.0501,2141368.0
2020-05-07 09:35:00,1.05,1.06,1.0,1.005,715309.0
2020-05-07 09:36:00,1.0054,1.0194,0.9588,0.9703,520164.0
2020-05-07 09:37:00,0.97,1.0,0.97,0.9899,274785.0
2020-05-07 09:38:00,0.9903,0.9996,0.9592,0.9693,183757.0
2020-05-07 09:39:00,0.9609,0.9844,0.9608,0.9622,169550.0
2020-05-07 09:40:00,0.9624,0.9795,0.9199,0.9232,391104.0
2020-05-07 09:41:00,0.92,0.95,0.92,0.93,276396.0
2020-05-07 09:42:00,0.928,0.928,0.9036,0.9036,236583.0
2020-05-07 09:43:00,0.9062,0.9556,0.905,0.95,488576.0
2020-05-07 09:44:00,0.9497,0.965,0.945,0.9617,208667.0
2020-05-07 09:45:00,0.9636,0.965,0.94,0.9481,172108.0
2020-05-07 09:46:00,0.94,0.9481,0.92,0.92,131616.0
2020-05-07 09:47:00,0.92,0.934,0.92,0.9299,104351.0
2020-05-07 09:48:00,0.93,0.95,0.9281,0.94,104374.0
2020-05-07 09:49:00,0.9405,0.9491,0.9288,0.9291,126406.0
2020-05-07 09:50:00,0.9201,0.93,0.92,0.9205,111004.0
2020-05-07 09:51:00,0.921,0.921,0.911,0.916,137655.0
2020-05-07 09:52:00,0.913,0.921,0.91,0.9196,99867.0
2020-05-07 09:53:00,0.918,0.9269,0.8694,0.8803,585372.0
2020-05-07 09:54:00,0.88,0.8841,0.8749,0.88,261080.0
2020-05-07 09:55:00,0.8797,0.9,0.8771,0.8912,187289.0
2020-05-07 09:56:00,0.8912,0.895,0.877,0.88,163010.0
2020-05-07 09:57:00,0.88,0.88,0.86,0.866,261668.0
2020-05-07 09:58:00,0.8661,0.873,0.8615,0.8672,188620.0
2020-05-07 09:59:00,0.8703,0.8785,0.8583,0.8617,400823.0
2020-05-07 10:00:00,0.87,0.87,0.86,0.87,205054.0
2020-05-07 10:01:00,0.8617,0.89,0.8616,0.89,279021.0
2020-05-07 10:02:00,0.89,0.89,0.88,0.8861,156766.0
2020-05-07 10:03:00,0.89,0.9,0.89,0.89,243259.0
2020-05-07 10:04:00,0.8698,0.8763,0.862,0.876,541175.0
2020-05-07 10:05:00,0.8759,0.8867,0.8732,0.8794,149297.0
2020-05-07 10:06:00,0.8801,0.888,0.859,0.8602,259949.0
2020-05-07 10:07:00,0.8598,0.8599,0.814,0.8141,680790.0
2020-05-07 10:08:00,0.8141,0.8453,0.8069,0.8301,680573.0
